_unit_id,comment_text
y8hD11I6/FIAywrkZOTm/BZprzc=,fuck you mother fucker
I2ZqEb2THNZ4GYw1ksyvwpfsERg=,"""

Span occurs not as a separate page but as an alternate word for """"generate"""" on the 

Linear Algebra page under Generating a Vector Space."""
i44RvDHB0QN8g+tQTTlLDkbTnnw=,"Ummm. The article uses imperial measurements, not SI ones. Some translation is apparently in order. -) Anders Törlind"
3hT9UmIiPx3p18w0bm/SvwxP1/I=,"""

I've heard """"it's all about the Benjamins"""" in TV and Film...JHK"""
ijczqL7zxKDLnlMJwHwP+xt4uzo=,"No, not at all, as I suppose you are going to do heavy linking from here to your new page(s). In fact that's a very nice idea. Here to have an overview and then be able to move on to details. Go ahead! Hannes Hirzel"
t0Fw9FTZ6iuLe/B5pqZbYP/VDTs=,"Oh, never mind.  I misread the change.  My mistake.   Egern"
e5a2uMQKX+SZ3ytwE7oNwm4Vp7s=,"I must admit, that first paragraph is oodles more interesting, but it's totally fruity. Or is it nutty? Whatever the case, it smacks of granola. (I hope you can take that with a sense of humor.)

All I want is for the article to be specific and comprehensible. BFI'm not talking about presenting lots of different points of view, I'm just saying that to describe New Age we can't use New Age language, because you get trapped in a circle of self-reference. I know that you may feel that traditional forms of language don't properly express the sense of New Age, but the trick is to start from a common foundation, then build towards the vision, not start from the vision. The rapture of instant enlightenment can't (shouldn't?) come from an encyclopedia; rather, it may complement and guide the experience.

TheCunctator"
kH+Gd+sgYBRZCIHLUYKO21926sY=,"Ed, I am tired!  Anyway, I certainly did not mean to trivialize the suffering of vicitms of racism, only to say that most scientists  racist and anti-racist  have not been persecuted the way Galileo was.  Perhaps racist scientists should be.  But even here I would qualify it  not only do I not want to put some racist scientists in the US or Canada in the same category of Joseph Mengele, I think the crucial difference is precisely the social context  we live in a society based on free debate where a few scientists can be racist and they will be challenged publically and a well-informed public can make up its mind.  In the 1930s racist scientists lived in racist societies, both here and in Germany, and their work was used to justify and promote horrible things.  But today such scientists in eitehr the US or Germany can say what they want and for the most part, thanks in part to open scientific debate, and democratic societies where there is vigorous public debate in legislatures, their work has not had the same awful effect.  SR"
ArXWOOD7lnOD01I42oZJ3A/5LaY=,"""Well, I am not trying to pick a fight ) but I have NPOV issues with this article.  It reads  at the moment  like a celebration of scientific progress.  I have two problems: first, it moves too easily from science as a generic activity all people engage in, to science as a specifically Western project.  Second, although there has been progress in science in that there is some accumulation of knowledge, the history of science is rather more complicated than that.

One way to deal with this (if others find my criticisms valid) is to distinguish in the article between what we know about changes in scientific method and knowledge (from Aristotle to Bacon to Comte to Popper; from Aristotle to Darwin to Mendel to Mayr; from Aristotle to Newton to Einstein and Planck; etc, on the one hand, and various discussions over how to study and conceive of the history of science (i.e. issues in historiography and the sociology of science), on the other.  For example, I think everyone agrees that Aristotle, Newton, Einstein and Planck are real people who lived at different periods of time and made different claims about the world  but I think different people have vastly different ways of telling the story that connects these people and their claims.  I'd hope a good article on """"the history of science"""" would inform me of these issues, and provide me with the different ways of understanding the movement from one period in science to another.

I am no expert on this but I really hope someone who feels very confident of their grasp of, say, Thomas Kuhn and Bruno Latour, could reorganize and develop this article in a way that takes their claims about science seriously, as well as the claims of those with opposing views.

I am glad Ed has begun this article, it can be really important and it is a needed contribution.   SR

"""
yRdCP9+0hBIf/E+VxiXf1dERo6k=,"Article says:

A cantor, more properly known as a hazzan, has no formal role in Jewish law.

And then it says:

Traditional Jewish law restricts hazzanim to be males over the age of 13; the non-Orthodox Jewish movements allow women over the age of 12 to be hazzans as well.

If the hazzan has no formal role in halakha, how is it that halakha sets requirements to be one?  SJK"
xGdbL4JpzXVmiAV6mB0itKSg5cA=,"This:
One can make an analogy in mathematical terms by envisioning the distribution of opinions in a population as a Gaussian curve. We would then say that the consensus would be a statement that represents the range of opinions within perhaps three standard deviations of the mean opinion. 
sounds arbitrary and ad hoc.  Does it really belong in n encyclopedia article?  I don't see that it adds anything useful.

The paragraph that follows seems much more useful.  Are there any political theorists out there who can clarify the issues?  It seems to me that this is an issue that Locke, Rousseau, de Toqueville, and others must have debated...  SR"
mF2nfmzkxM3TYZ+xkFhgR5wf11c=,"""

Clarification for you  (and Zundark's right, i should have checked the Wikipedia bugs page first).   This is a """"bug"""" in the code that makes wikipedia work  it just means that there is a line of code that may have an error as small as an extra space. It's analogous (in a VERY simplified way) to trying to make something bold in HTML and forgetting to put the  at the end, so you'd see something like this:

words in bold

Instead of this:

words in bold 

It's not like a virus, that is code somebody deliberately wrote in order to infect your computer and damage files, so it won't """"go around."""" JHK

"""
egDrv+V089DK2JHABXADZoL7X2s=,Elected or Electoral? JHK
n+fswxDOIFjg7ao+SbOZjpMH0Tc=,"""just quick notes, since i don't have the time or background to write well on it...

purpose:  fund-raising vs control/social-engineering/behavior-modification

types: inheritance; custom/import/duty; reseller's; property

related/see also: bonds; notes

capital gains tax

personal property tax

business inventory tax (includes busines equipment)

import taxes vs farm subsidies

stamp duty

revenue stamp

revenue paper

imputed interest/income tax (on zero coupon bonds)

and just for humor, """"The Microsoft Tax""""

     thanks  WP

The phrase 'It distorts economies because it punishes productive people for being productive' in relation to progressive taxation does rather assume that people who are more productive get paid more. This does not neccesarily hold true, even if production is defined as contribution to the creation of wealth. It is certainly not true if production is defined as the creation of value.

In addition, the adjectives distort and punish seem rather emotive. It can be argued that people paying higher rate taxes have a duty to contribute to the economy and nation more than others. (such as one-nation toryism)

Interested to discuss - Ddroar

>Other purposes might include redistribution 
>of income from the rich to the poor,

If the state appropriates money for the exact opposite purpose (enrichment of the rich at the expense of the poor), is it still tax money? - n8chz

... might include ... - think it´s not necessary.
"""
oc3SLwrQMm/t1/MmdaXGN94gmzY=,"Off-the-cuff remarks very briefly: this article still needs a huge amount of research, and could stand very well to be moved to something like science and religion or scientific reactions to religion.  There are many books and articles written about the intersection of science and religion, including a new journal edited by Nupedia religion editor Munawar Anees (who has a Ph.D. in biology).  So please try to make this entry good!  -) LMS"
tV/l3F+RqReo82IoOMP7oqyQrAs=,"""This is such a fun entry.   Devotchka

I once had a coworker from Korea and not only couldn't she tell the difference between USA-English and British English, she had trouble telling the difference between different European languages.  (Kind of keeps things in perspective, eh?) -)
Not suprising. While I can easily tell the difference between French, German, Italian, Spanish, Dutch, etc., put me in a room with a Chinese, Japanese, Korean, Vietnamese and a Thai speaker and I probably couldn't tell the difference. (If I saw it written I'd probably have somewhat more luck though.)  SJK

Vietnamese has more syllable-final consonants than Japanese, I think you can tell them apart that way, maybe. Is this right? - Juuitchan

Someone suggested: """"Heath Robinson"""" and """"Rube Goldberg"""" as a vocabulary difference.  It's certainly an interesting parallel, but I don't think it really belongs here.  They were both artists with their own style, and both are known on both sides of the pond although their use as descriptive adjectives is split as suggested.  At any rate, they can't quite be considered translations, because as an adjective, """"Rube Goldberg"""" is more specific, describing an overly complex mechanical device or a complex series of interdependent actions; Heath Robinson, in contrast, is more surrealistic or fantasy-oriented.  LDC

As an American, I would like to say that to me a bum is a homeless person as much as the butt, a flat is an apartment, and rubbish certainly is trash. Granted, I agree that a fag is not a cigarette, and underground is not a subway. I may do some actual research, and come back and fiddle with that list. - Eean.

I think Americans certainly understand the use of """"bum"""" for """"butt"""", """"rubbish"""" for """"trash"""", and (to a lesser degree) """"flat"""" for """"apartment"""".  But we don't use those terms much.  Point to a container for discarded things, and an American will say """"that's a trash can""""; a Brit will say """"that's a rubbish bin"""".  Americans are more likely to use """"rubbish"""" in the sense of """"bullshit"""". LDC

I deleted the following pair: """"limited (Ltd)"""" and """"incorporated"""", since they actually mean different things. """"Incorporated"""" means a corporation; """"limited"""" means a limited liability corporation (you can also have unlimited liability corporations, and no liability corporations). British (and Australian also) Ltd is roughly equivalent to American LLC.  SJK

I would say 'torch' was much more common than 'pocket lamp' which sounds quite old-fashioned. 'Flashlight' would be more easily recognised than the latter.

Yes, I'd call it a """"torch"""", and it would probably be labeled as a """"flashlight"""" in its manufacturer's packaging. IMO, 'torch' is colloquial British English  The Anome

Oh, so """"flashlight"""" is correct British usage? (My dictionary said [Am.] and the Oxford English Dictionary carried """"flashlight"""" only in the meaning of photography.) Then I'll remove the entry again. AxelBoldt
"""
